client_id,title,description,state,priority,agent_id,created_at,updated_at,closed_at
100000001,Problema con login,No puedo iniciar sesión en la plataforma: me dice credenciales incorrectas,cerrada,alta,200000003,2025-07-10 09:15:00,2025-07-10 11:30:00,2025-07-17 16:45:00
100000002,Error en reporte,El reporte de ventas muestra cifras incorrectas,en_proceso,critica,200000002,2025-07-10 10:00:00,2025-07-10 10:45:00,
100000003,Pregunta sobre funcionalidad,¿Cómo puedo exportar mis reportes en PDF?,cerrada,baja,200000005,2025-07-11 11:45:00,2025-07-11 12:15:00,2025-07-19 12:15:00
100000004,Problema de acceso,Mi cuenta fue bloqueada por intentos fallidos,abierta,alta,200000001,2025-07-12 08:20:00,2025-07-12 08:25:00,
100000005,Solicitud de mejora,Sería útil tener integración con Google Drive,en_proceso,media,200000004,2025-07-13 14:10:00,2025-07-13 14:50:00,
100000006,Error en notificaciones,No recibo notificaciones push,en_proceso,alta,200000002,2025-07-14 09:35:00,2025-07-14 10:00:00,
100000001,Problema con notificaciones,No estoy recibiendo notificaciones por email,cerrada,media,200000003,2025-07-15 08:05:00,2025-07-15 09:45:00,2025-07-23 14:20:00
100000007,Consulta sobre integración,¿Es posible integrar con Salesforce?,cerrada,baja,200000004,2025-07-16 09:20:00,2025-07-16 10:10:00,2025-07-24 10:10:00
100000008,Problema con facturación,Se me cobró doble este mes,abierta,critica,200000001,2025-07-18 10:40:00,2025-07-18 11:05:00,
100000010,Actualización de información,Necesito actualizar mi información de contacto,cerrada,baja,200000006,2025-07-19 13:05:00,2025-07-19 13:30:00,2025-07-28 13:30:00
100000011,Error en mobile app,La aplicación se cierra al intentar abrir reportes,en_proceso,alta,200000002,2025-07-20 07:55:00,2025-07-20 08:40:00,
100000012,Duda sobre permisos,¿Cómo configuro los permisos de mi equipo?,cerrada,media,200000004,2025-07-22 16:50:00,2025-07-22 17:25:00,2025-08-01 17:25:00
100000013,Solicitud de soporte técnico,Mi sistema está muy lento,abierta,alta,200000001,2025-07-23 09:10:00,2025-07-23 09:30:00,
100000014,Problema con API,Recibo error 500 al consumir la API,en_proceso,critica,200000002,2025-07-24 15:25:00,2025-07-24 15:55:00,
